COPY uczestnicy FROM STDIN DELIMITER ';' NULL 'null';
128;Natasza;Jędrzejek;F;1996-06-15
129;Fabian;Kordus;M;1974-12-07
130;Aleksander;Giers;F;1968-10-02
131;Franciszek;Karpiel;M;1979-12-14
132;Fryderyk;Wacławczyk;F;2000-03-17
133;Dorota;Indyk;F;1985-08-27
134;Maciej;Lewek;F;2019-01-25
135;Jerzy;Ścieszka;F;1999-07-18
136;Daniel;Drwięga;F;2019-09-17
137;Klara;Grubba;M;1993-08-01
138;Maciej;Młyńczyk;M;2018-10-23
139;Mikołaj;Żelazek;F;2003-06-02
140;Maciej;Hutnik;M;1975-03-30
141;Tymon;Bobryk;M;1999-11-20
142;Aleksander;Wąsala;F;2008-01-17
143;Eryk;Mik;M;1971-06-21
144;Olaf;Freitag;M;2018-07-23
145;Aleks;Protasiuk;M;1973-02-15
146;Marek;Barczuk;M;2009-05-02
147;Lidia;Żółkiewicz;F;1971-06-11
148;Adrian;Szmuc;F;1970-06-13
149;Łukasz;Huszcza;F;2008-06-07
150;Piotr;Kajdan;F;1996-03-20
151;Cyprian;Komander;F;2005-10-16
152;Cyprian;Zdziech;M;1984-01-23
153;Aleks;Witos;F;1990-03-02
154;Tymoteusz;Warzybok;M;2003-09-26
155;Paweł;Pytlarz;M;2005-01-10
156;Tomasz;Ryczko;F;1990-07-07
157;Inga;Połom;F;1966-04-20
158;Julian;Kłósek;M;1976-04-30
159;Jacek;Wasiuk;F;1993-07-08
160;Julian;Zimniak;M;1992-08-09
161;Roksana;Aleksa;M;2003-07-17
162;Mieszko;Fleszar;M;1997-01-30
163;Roksana;Gonet;M;2014-03-11
164;Aleksander;Zackiewicz;M;2016-07-20
165;Jacek;Grymuza;F;1969-03-09
166;Przemysław;Picheta;F;1970-10-13
167;Agnieszka;Jarmuła;F;2016-07-15
168;Kaja;Bors;F;2005-04-18
169;Marcel;Droś;F;2005-02-06
170;Marcel;Radke;M;2000-11-22
171;Leon;Lesiewicz;F;1999-12-24
172;Dariusz;Przekop;M;2014-12-10
173;Filip;Rosada;F;2019-07-18
174;Julian;Herbut;F;1974-02-04
175;Tymoteusz;Panasiewicz;F;2007-09-14
176;Kornelia;Kukawka;M;1995-12-10
177;Klara;Kaźmierczyk;M;2020-09-02
178;Wiktor;Trybała;M;1995-05-10
179;Mikołaj;Sajda;M;1975-03-07
180;Inga;Gruchot;M;2001-02-03
181;Marianna;Błażejczak;M;2018-09-18
182;Marcelina;Leszczuk;M;2021-04-21
183;Olgierd;Kurcz;M;2022-11-26
184;Franciszek;Stąpór;F;1975-11-09
185;Fryderyk;Żółkiewicz;F;2023-03-13
186;Marika;Dziugieł;F;1981-12-30
187;Tola;Motak;M;2015-11-14
188;Olgierd;Zugaj;M;2019-06-16
189;Mateusz;Danel;M;1992-10-31
190;Karol;Kenig;F;1990-03-03
191;Lidia;Oczko;M;1974-03-17
192;Igor;Włodyka;M;2014-12-30
193;Kalina;Pawela;M;1986-06-09
194;Dawid;Robaszkiewicz;F;2000-08-28
195;Ewa;Huczek;M;1991-03-09
196;Ida;Skała;F;2006-06-07
197;Józef;Gronkiewicz;M;1968-03-20
198;Iwo;Wolańczyk;F;1987-04-27
199;Iwo;Czak;F;1969-11-23
200;Jakub;Glazik;F;2005-11-19
201;Ksawery;Zębik;F;1998-04-01
202;Kornel;Rurka;F;2017-07-19
203;Antoni;Kwarciak;M;1995-10-13
204;Malwina;Prejs;M;1995-12-26
205;Alex;Misiurek;F;1973-09-29
206;Tadeusz;Knieć;F;1973-09-24
207;Ernest;Lenik;F;1980-02-11
208;Konrad;Buza;F;1974-05-19
209;Kacper;Siwa;M;1971-01-02
210;Ryszard;Armata;F;1989-10-24
211;Kacper;Kalinka;F;2005-09-12
212;Radosław;Prostak;F;1971-09-30
213;Maciej;Dumała;M;1991-02-19
214;Nataniel;Biernacik;F;1994-03-10
215;Paweł;Koronkiewicz;F;1975-07-30
216;Józef;Konat;F;2009-03-30
217;Julita;Wawrzynowicz;M;1990-03-15
218;Grzegorz;Toborek;M;1990-09-24
219;Artur;Krężołek;M;2009-02-21
220;Radosław;Sykała;F;2020-08-21
221;Adrianna;Klimko;M;1993-08-07
222;Tadeusz;Szaruga;F;1976-12-04
223;Aurelia;Tyka;M;1972-03-01
224;Jerzy;Poreda;F;1978-12-22
225;Oliwier;Kordys;M;2005-04-01
226;Marek;Mytnik;F;2001-10-09
227;Wiktor;Morka;M;1992-06-28
228;Krystyna;Mycek;F;2007-02-02
229;Miłosz;Pokusa;M;2012-11-06
230;Olaf;Marko;F;1984-04-22
231;Leonard;Kohnke;F;1977-05-25
232;Nataniel;Feliniak;F;2000-06-19
233;Cyprian;Roś;M;2010-01-08
234;Leonard;Wydmuch;M;1972-10-30
235;Natan;Fidos;F;1970-11-19
236;Jędrzej;Galik;M;2006-03-22
237;Gaja;Wosiak;M;2006-12-07
238;Sonia;Ułanowicz;M;1971-02-15
239;Monika;Styrna;M;1984-05-20
240;Arkadiusz;Święs;M;1980-08-11
241;Przemysław;Barczuk;F;2003-02-24
242;Mieszko;Kurzac;F;2016-06-08
243;Anastazja;Sadlak;F;2021-03-09
244;Karol;Czuj;M;2009-07-16
245;Dominik;Żynda;M;2005-11-18
246;Mikołaj;Andrzejuk;F;2014-01-01
247;Maks;Pawlonka;M;2002-11-09
248;Natan;Ślebioda;M;1996-10-22
249;Tymoteusz;Klaja;M;1965-09-06
250;Ada;Drążyk;M;1976-11-19
251;Kornel;Szałata;F;1984-02-25
252;Leon;Skała;M;2007-02-22
253;Natasza;Wichary;M;2016-07-09
254;Przemysław;Folta;F;2018-05-27
255;Oliwier;Kulma;M;1998-04-03
256;Cyprian;Ekert;F;1965-04-06
257;Gustaw;Pyda;F;2008-06-01
258;Damian;Kutnik;F;1967-12-12
259;Marek;Pierz;F;1991-08-17
260;Malwina;Sapa;F;1967-11-05
261;Konrad;Kornek;M;1968-07-20
262;Marika;Kiciak;M;2021-06-29
263;Leon;Glegoła;F;2008-09-09
264;Marika;Basista;F;1966-09-21
265;Iwo;Kubek;F;1970-06-20
266;Jacek;Fidor;F;2008-02-14
267;Filip;Szkoła;F;2018-11-23
268;Marek;Jeszka;F;1975-09-16
269;Paweł;Rećko;M;1983-11-04
270;Filip;Lulek;M;1981-11-11
271;Łukasz;Salwin;F;1967-07-05
272;Rozalia;Szarpak;F;1987-09-05
273;Bruno;Smykała;F;2007-11-01
274;Adam;Andrukiewicz;F;2018-02-15
275;Malwina;Zaranek;M;2019-03-07
276;Liwia;Białczyk;F;1976-08-12
277;Maurycy;Tatarek;M;2017-07-25
278;Adrianna;Nieborak;F;2020-01-17
279;Hubert;Sugier;M;1971-05-17
280;Bianka;Gęca;F;1996-07-20
281;Leonard;Przewoźna;F;1997-04-13
282;Damian;Nyk;F;2022-03-11
283;Janina;Dąbroś;M;1985-10-23
284;Miłosz;Bereda;F;2006-07-26
285;Sonia;Wojaczek;M;2009-06-12
286;Miłosz;Łodyga;M;1989-04-01
287;Anna Maria;Majewicz;F;2017-05-30
288;Maciej;Kapka;F;2018-09-18
289;Marianna;Glenc;M;1979-11-27
290;Gaja;Łuksza;M;1993-09-23
291;Nicole;Siarkiewicz;F;1980-07-23
292;Kazimierz;Sromek;M;1966-07-05
293;Franciszek;Jeżyna;M;1969-03-29
294;Roksana;Piotrowiak;F;2016-03-07
295;Nela;Gapys;M;2010-05-21
296;Dominik;Kornak;F;2014-08-12
297;Artur;Steinke;F;1977-05-11
298;Nataniel;Lejman;F;2005-02-19
299;Aleks;Milczarczyk;F;1983-08-13
300;Igor;Ludwik;F;1993-11-03
301;Ernest;Goliszek;F;1987-02-06
302;Ewelina;Worach;F;2015-05-02
303;Kaja;Grzelczyk;F;2022-06-15
304;Krystian;Rasała;F;1968-08-15
305;Radosław;Rozmiarek;F;1994-12-15
306;Wojciech;Staśko;F;1991-11-16
307;Bartek;Ścibisz;M;1985-09-17
308;Aleksander;Murat;M;2002-11-12
309;Dariusz;Krępa;M;2020-04-29
310;Nikodem;Siwczak;F;1975-11-02
311;Inga;Kalka;F;1974-11-07
312;Alex;Przybycień;F;1980-05-02
313;Marika;Janc;F;1978-09-03
314;Daniel;Gordon;M;1970-08-17
315;Sandra;Piłka;F;2004-08-22
316;Łukasz;Kolendo;M;1987-05-06
317;Błażej;Linkiewicz;F;1975-09-28
318;Kamila;Marchlewicz;F;2010-06-29
319;Leon;Cyba;M;1974-08-09
320;Nicole;Mazek;F;1987-03-11
321;Krystyna;Mućko;M;1982-06-19
\.
